Company Name,Company Score,Alignment,Budget,Demand,Data Quality,Dev,F2P,Mobile,Fresh,Revenue,Funding,Headcount,Status,Volatility,Revenue ∆,Runway ∆,Headcount ∆,Hiring,URL,Country,FLAG,Notes,Discover Source,Created Date,Updated Date,Normalized Name
Kids Games LLC,56.7,100.0,16.5,2.2,,100.0,100.0,100.0,0.0,37.8,0.0,0.0,0.0,4.1,7.8,0.0,0.0,0.0,,"Russia, US",,,ST Top Pubs,2025-09-09,2025-09-09,kids
San Manuel Band of Mission Indians,56.7,100.0,9.9,12.0,,100.0,100.0,100.0,0.0,22.8,0.0,0.0,0.0,21.9,41.7,0.0,0.0,0.0,,India,,,,,2025-09-09,san manuel band of mission indians
elad apps,56.7,100.0,12.3,8.6,,100.0,100.0,100.0,0.0,28.2,0.0,0.0,0.0,15.6,29.8,0.0,0.0,0.0,,,,,,,2025-09-09,elad
Gamezaaa,56.6,100.0,10.4,10.8,,100.0,100.0,100.0,0.0,23.9,0.0,0.0,0.0,19.7,37.5,0.0,0.0,0.0,,Hong Kong,,,,,2025-09-09,gamezaaa
Great Detail Ltd,56.6,100.0,11.3,9.3,,100.0,100.0,100.0,0.0,26.1,0.0,0.0,0.0,16.9,32.3,0.0,0.0,0.0,,United Kingdom,,,,,2025-09-09,great detail
"Quanzhou Qiyu Network Technology Co., Ltd.",56.6,100.0,0.2,26.3,,100.0,100.0,100.0,0.0,0.5,0.0,0.0,0.0,48.0,91.5,0.0,0.0,0.0,,,,,,,2025-09-09,quanzhou qiyu network
ICHIGO Inc.,56.6,100.0,12.9,7.2,,100.0,100.0,100.0,0.0,29.6,0.0,0.0,0.0,13.1,25.0,0.0,0.0,0.0,,Japan,,,,,2025-09-09,ichigo
GameGears,56.6,100.0,10.7,10.2,,100.0,100.0,100.0,0.0,24.6,0.0,0.0,0.0,18.6,35.5,0.0,0.0,0.0,,Cyprus,,,ST Top Pubs,2025-09-09,2025-09-09,gamegears
GRAND-ATTIC,56.6,100.0,4.3,20.1,,100.0,100.0,100.0,0.0,9.9,0.0,0.0,0.0,36.7,70.0,0.0,0.0,0.0,,United Kingdom,,,,,2025-09-09,grand attic
"HongKongSkyhorseCulturalInnovationCo.,Limited",56.6,100.0,11.4,9.5,,100.0,100.0,100.0,0.0,26.1,0.0,0.0,0.0,17.3,33.0,0.0,0.0,0.0,,Hong Kong,,,,,2025-09-09,hongkongskyhorseculturalinnovationco
Cedar Technology HK Limited,56.6,100.0,13.6,5.8,,100.0,100.0,100.0,0.0,31.2,0.0,0.0,0.0,10.5,20.1,0.0,0.0,0.0,,Hong Kong,,,,,2025-09-09,cedar hk
LOTUM GmbH,56.6,100.0,10.6,10.3,,100.0,100.0,100.0,0.0,24.4,0.0,0.0,0.0,18.8,35.9,0.0,0.0,0.0,,Germany,,,,,2025-09-09,lotum
DAERISOFT,56.6,100.0,13.8,5.5,,100.0,100.0,100.0,0.0,31.7,0.0,0.0,0.0,10.1,19.3,0.0,0.0,0.0,,South Korea,,,ST Top Pubs,2025-09-09,2025-09-09,daerisoft
Tianjia,56.5,100.0,0.2,25.5,,100.0,100.0,100.0,0.0,0.5,0.0,0.0,0.0,46.6,88.9,0.0,0.0,0.0,,Hong Kong,,,,,2025-09-09,tianjia
Gear Games Inc.,56.5,100.0,16.6,1.1,,100.0,100.0,100.0,0.0,38.3,0.0,0.0,0.0,2.1,4.0,0.0,0.0,0.0,,US,,,ST Top Pubs,2025-09-09,2025-09-09,gear
PotatoPlay,56.5,100.0,12.7,6.6,,100.0,100.0,100.0,0.0,29.2,0.0,0.0,0.0,12.0,22.9,0.0,0.0,0.0,,Singapore,,,,,2025-09-09,potatoplay
So Far So Good,56.5,100.0,9.9,11.2,,100.0,100.0,100.0,0.0,22.7,0.0,0.0,0.0,20.5,39.1,0.0,0.0,0.0,,France,,,,,2025-09-09,so far so good
RocketPlay,56.5,100.0,4.8,18.6,,100.0,100.0,100.0,0.0,11.1,0.0,0.0,0.0,33.9,64.6,0.0,0.0,0.0,,United Kingdom,,,,,2025-09-09,rocketplay
Zencat Gaming,56.5,100.0,13.6,5.7,,100.0,100.0,100.0,0.0,31.2,0.0,0.0,0.0,10.4,19.8,0.0,0.0,0.0,,Hong Kong,,,ST Top Pubs,2025-09-09,2025-09-09,zencat
IDEASAM,56.5,100.0,4.4,19.2,,100.0,100.0,100.0,0.0,10.1,0.0,0.0,0.0,35.0,66.8,0.0,0.0,0.0,,South Korea,,,,,2025-09-09,ideasam
APPFACTORY GLOBAL PTE. LTD.,56.5,100.0,7.3,15.1,,100.0,100.0,100.0,0.0,16.8,0.0,0.0,0.0,27.5,52.4,0.0,0.0,0.0,,,,,ST Top Pubs,2025-09-09,2025-09-09,appfactory pte
Eklipse.gg,56.5,100.0,7.1,15.1,,100.0,100.0,100.0,0.0,16.3,0.0,0.0,0.0,27.5,52.4,0.0,0.0,0.0,,Singapore,,,ST Top Pubs,2025-09-09,2025-09-09,eklipse gg
Gogii Games Corp.,56.5,68.0,18.8,77.9,,100.0,0.0,100.0,0.0,3.2,44.9,8.4,55.5,52.2,99.6,0.0,0.0,0.0,http://www.gogiigames.com,Canada,,,,,2025-09-09,gogii
Trung Tran,56.5,100.0,4.9,18.3,,100.0,100.0,100.0,0.0,11.2,0.0,0.0,0.0,33.4,63.7,0.0,0.0,0.0,,Vietnam,,,,,2025-09-09,trung tran
DH YAZILIM VE BILISIM TEKNOLOJILERI TICARET LIMITED SIRKETI,56.4,100.0,13.8,4.6,,100.0,100.0,100.0,0.0,31.7,0.0,0.0,0.0,8.3,15.9,0.0,0.0,0.0,,,,,,,2025-09-09,dh yazilim ve bilisim teknolojileri ticaret sirketi
Minicades Mobile,56.4,100.0,3.0,20.8,,100.0,100.0,100.0,0.0,7.0,0.0,0.0,0.0,38.0,72.5,0.0,0.0,0.0,,Australia,,,ST Top Pubs,2025-09-09,2025-09-09,minicades
HOJUN SON,56.4,100.0,6.1,16.4,,100.0,100.0,100.0,0.0,13.9,0.0,0.0,0.0,30.0,57.2,0.0,0.0,0.0,,South Korea,,,,,2025-09-09,hojun son
IFun Games,56.4,100.0,14.2,4.3,,100.0,100.0,100.0,0.0,32.7,0.0,0.0,0.0,7.8,14.9,0.0,0.0,0.0,,,,,,,2025-09-09,ifun
Digital Strawberry,56.4,100.0,2.5,21.5,,100.0,100.0,100.0,0.0,5.9,0.0,0.0,0.0,39.3,75.0,0.0,0.0,0.0,,US,,,,,2025-09-09,strawberry
Chumash Casino & Resort Enterprise,56.4,100.0,6.0,16.6,,100.0,100.0,100.0,0.0,13.8,0.0,0.0,0.0,30.2,57.6,0.0,0.0,0.0,,US,,,,,2025-09-09,chumash resort
Mad Brain Games LTD,56.4,100.0,3.4,20.3,,100.0,100.0,100.0,0.0,7.9,0.0,0.0,1.8,34.1,65.0,0.0,0.0,0.0,https://braingames.net/,Israel,,,,,2025-09-09,mad brain
GameAccount Network,56.4,100.0,2.3,22.0,,100.0,100.0,100.0,0.0,5.4,0.0,0.0,0.0,40.2,76.7,0.0,0.0,0.0,,United Kingdom,,,,,2025-09-09,gameaccount network
Everbyte,56.4,100.0,8.9,12.1,,100.0,100.0,100.0,0.0,20.4,0.0,0.0,0.0,22.1,42.1,0.0,0.0,0.0,,Germany,,,ST Top Pubs,2025-09-09,2025-09-09,everbyte
Weilin Mei,56.4,100.0,6.9,15.1,,100.0,100.0,100.0,0.0,15.8,0.0,0.0,0.0,27.5,52.4,0.0,0.0,0.0,,,,,ST Top Pubs,2025-09-09,2025-09-09,weilin mei
Photo Roulette AS,56.4,100.0,11.6,7.9,,100.0,100.0,100.0,0.0,26.7,0.0,0.0,0.0,14.5,27.6,0.0,0.0,0.0,,Norway,,,,,2025-09-09,photo roulette
LionTec,56.3,100.0,0.2,24.8,,100.0,100.0,100.0,0.0,0.5,0.0,0.0,0.0,45.2,86.3,0.0,0.0,0.0,,Singapore,,,,,2025-09-09,liontec
"Caelum Inc, Slots Bingo Casino Card Game Collections",56.3,100.0,2.9,20.7,,100.0,100.0,100.0,0.0,6.7,0.0,0.0,0.0,37.7,71.9,0.0,0.0,0.0,,US,,,ST Top Pubs,2025-09-09,2025-09-09,caelum bingo card collections
Claw Eden,56.3,100.0,11.6,7.3,,100.0,100.0,100.0,0.0,26.6,0.0,0.0,0.0,13.4,25.6,0.0,0.0,0.0,,,,,,,2025-09-09,claw eden
Simon Hason,56.3,100.0,10.0,9.8,,100.0,100.0,100.0,0.0,22.9,0.0,0.0,0.0,17.8,34.0,0.0,0.0,0.0,,Canada,,,,,2025-09-09,simon hason
Hongliang Feng,56.3,100.0,9.0,11.3,,100.0,100.0,100.0,0.0,20.7,0.0,0.0,0.0,20.7,39.5,0.0,0.0,0.0,,China,,,,,2025-09-09,hongliang feng
DiGiMi Pte. Ltd.,56.3,100.0,14.7,2.8,,100.0,100.0,100.0,0.0,33.9,0.0,0.0,0.0,5.1,9.7,0.0,0.0,0.0,,,,,,,2025-09-09,digimi pte
Kidospace Games,56.3,100.0,2.0,21.8,,100.0,100.0,100.0,0.0,4.7,0.0,0.0,0.0,39.7,75.7,0.0,0.0,0.0,,Israel,,,ST Top Pubs,2025-09-09,2025-09-09,kidospace
MAGE Games,56.3,100.0,14.8,2.8,,100.0,100.0,100.0,0.0,34.0,0.0,0.0,0.0,5.1,9.8,0.0,0.0,0.0,,Turkey,,,ST Top Pubs,2025-09-09,2025-09-09,mage
R2 Games,56.3,100.0,4.0,19.1,,100.0,100.0,100.0,0.0,9.3,0.0,0.0,0.0,34.9,66.6,0.0,0.0,0.0,,China,,,,,2025-09-09,r2
YULONZO LIMITED,56.3,100.0,4.8,17.7,,100.0,100.0,100.0,0.0,11.0,0.0,0.0,0.0,32.3,61.6,0.0,0.0,0.0,,Cyprus,,,,,2025-09-09,yulonzo
Wonder Entertainment Studios,56.3,100.0,16.7,0.1,,100.0,100.0,100.0,0.0,38.3,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,,Spain,,,ST Top Pubs,2025-09-09,2025-09-09,wonder
"Delaware North Gaming & Entertainment, Inc.",56.2,100.0,5.1,16.6,,100.0,100.0,100.0,0.0,11.7,0.0,0.0,0.0,30.3,57.7,0.0,0.0,0.0,,US,,,,,2025-09-09,delaware north
Games2rk,56.2,100.0,9.3,10.6,,100.0,100.0,100.0,0.0,21.4,0.0,0.0,0.0,19.3,36.8,0.0,0.0,0.0,,Israel,,,,,2025-09-09,games2rk
LDRLY Games,56.2,68.0,18.3,77.1,,100.0,0.0,100.0,0.0,42.0,0.0,0.0,55.5,50.7,96.7,0.0,0.0,0.0,,Canada,,,,,2025-09-09,ldrly
Lahana Game Studio,56.2,100.0,11.1,7.6,,100.0,100.0,100.0,0.0,25.5,0.0,0.0,0.0,13.9,26.6,0.0,0.0,0.0,,Turkey,,,ST Top Pubs,2025-09-09,2025-09-09,lahana
Phobies Holdings Inc.,56.2,100.0,8.5,11.5,,100.0,100.0,100.0,0.0,19.6,0.0,0.0,0.0,20.9,39.9,0.0,0.0,0.0,,Canada,,,,,2025-09-09,phobies
Man Zhang,56.2,100.0,2.8,20.2,,100.0,100.0,100.0,0.0,6.3,0.0,0.0,0.0,36.9,70.4,0.0,0.0,0.0,,China,,,,,2025-09-09,man zhang
Putaleng,56.2,100.0,7.6,13.2,,100.0,100.0,100.0,0.0,17.5,0.0,0.0,0.0,24.1,46.0,0.0,0.0,0.0,,Hong Kong,,,ST Top Pubs,2025-09-09,2025-09-09,putaleng
Vita Studio.,56.2,100.0,13.0,4.8,,100.0,100.0,100.0,0.0,29.9,0.0,0.0,0.0,8.8,16.8,0.0,0.0,0.0,,Hong Kong,,,,,2025-09-09,vita
draw in fun,56.2,100.0,11.9,6.4,,100.0,100.0,100.0,0.0,27.3,0.0,0.0,0.0,11.6,22.2,0.0,0.0,0.0,,China,,,,,2025-09-09,draw in fun
Helium9 Games,56.2,100.0,9.3,10.5,,100.0,100.0,100.0,0.0,21.3,0.0,0.0,0.0,19.1,36.4,0.0,0.0,0.0,,Czech Republic,,,ST Top Pubs,2025-09-09,2025-09-09,helium9
DREAMPLAY LIMITED,56.2,100.0,6.3,15.1,,100.0,100.0,100.0,0.0,14.6,0.0,0.0,0.0,27.5,52.4,0.0,0.0,0.0,,,,,,,2025-09-09,dreamplay
HYPERHUG,56.2,100.0,11.8,6.5,,100.0,100.0,100.0,0.0,27.2,0.0,0.0,0.0,11.8,22.5,0.0,0.0,0.0,,Cyprus,,,ST Top Pubs,2025-09-09,2025-09-09,hyperhug
BabyFirst,56.1,100.0,3.4,18.9,,100.0,100.0,100.0,0.0,7.9,0.0,0.0,0.0,34.4,65.6,0.0,0.0,0.0,,US,,,,,2025-09-09,babyfirst
Letterschool Enabling Learning B.V.,56.1,100.0,4.9,16.7,,100.0,100.0,100.0,0.0,11.3,0.0,0.0,0.0,30.5,58.2,0.0,0.0,0.0,,Netherlands,,,,,2025-09-09,letterschool enabling learning
Metajoy,56.1,100.0,7.5,12.5,,100.0,100.0,100.0,0.0,17.3,0.0,0.0,0.0,22.9,43.6,0.0,0.0,0.0,,China,,,,,2025-09-09,metajoy
41 Games,56.1,100.0,8.8,10.5,,100.0,100.0,100.0,0.0,20.2,0.0,0.0,0.0,19.2,36.7,0.0,0.0,0.0,,US,,,,,2025-09-09,
Marvelous,56.1,72.0,49.8,19.4,,100.0,100.0,0.0,0.0,0.0,98.5,71.1,0.0,35.4,0.0,84.2,0.0,0.0,marv.jp,Japan,,,,,2025-09-09,marvelous
Mousecity,56.1,100.0,10.3,8.5,,100.0,100.0,100.0,0.0,23.6,0.0,0.0,0.0,15.6,29.7,0.0,0.0,0.0,,Sweden,,,ST Top Pubs,2025-09-09,2025-09-09,mousecity
Microjoy Games Limited,56.1,100.0,13.0,4.5,,100.0,100.0,100.0,0.0,29.8,0.0,0.0,0.0,8.2,15.7,0.0,0.0,0.0,,China,,,,,2025-09-09,microjoy
Oni Gaming,56.1,100.0,14.2,2.6,,100.0,100.0,100.0,0.0,32.7,0.0,0.0,0.0,4.7,9.1,0.0,0.0,0.0,,,,,ST Top Pubs,2025-09-09,2025-09-09,oni
LokfungGame,56.1,100.0,3.9,18.0,,100.0,100.0,100.0,0.0,8.9,0.0,0.0,0.0,32.8,62.5,0.0,0.0,0.0,,,,,,,2025-09-09,lokfunggame
Union City,56.1,100.0,7.6,12.7,,100.0,100.0,100.0,0.0,17.4,0.0,0.0,0.0,23.3,44.4,0.0,0.0,0.0,,Hong Kong,,,ST Top Pubs,2025-09-09,2025-09-09,union city
Fancy Game,56.1,100.0,15.5,0.8,,100.0,100.0,100.0,0.0,35.7,0.0,0.0,0.0,1.4,2.6,0.0,0.0,0.0,,Hong Kong,,,ST Top Pubs,2025-09-09,2025-09-09,fancy
MysteryTag,56.1,68.0,45.5,35.6,,100.0,0.0,100.0,0.0,29.4,44.9,78.7,0.0,64.9,96.2,0.0,45.9,0.0,mysterytag.com,Ukraine,,,,,2025-09-09,mysterytag
Robert Suh,56.1,100.0,1.6,21.5,,100.0,100.0,100.0,0.0,3.7,0.0,0.0,0.0,39.3,75.0,0.0,0.0,0.0,,US,,,,,2025-09-09,robert suh
QPlay Ltd,56.0,100.0,4.2,17.1,,100.0,100.0,100.0,0.0,9.7,0.0,0.0,0.0,31.2,59.4,0.0,0.0,0.0,,United Kingdom,,,,,2025-09-09,qplay
RestPlay,56.0,100.0,8.9,9.9,,100.0,100.0,100.0,0.0,20.3,0.0,0.0,0.0,18.0,34.3,0.0,0.0,0.0,,Turkey,,,,,2025-09-09,restplay
Tipsy Flamingo LLC,56.0,100.0,9.2,9.8,,100.0,100.0,100.0,0.0,21.2,0.0,0.0,0.0,17.9,34.1,0.0,0.0,0.0,,US,,,,,2025-09-09,tipsy flamingo
Woozworld,56.0,100.0,7.3,12.3,,100.0,100.0,100.0,0.0,16.7,0.0,0.0,0.0,22.4,42.8,0.0,0.0,0.0,,Canada,,,,,2025-09-09,woozworld
Strategy Gamez,56.0,100.0,10.9,7.0,,100.0,100.0,100.0,0.0,25.2,0.0,0.0,0.0,12.8,24.3,0.0,0.0,0.0,,China,,,,,2025-09-09,strategy gamez
Quantum Solutions Asia Limited,56.0,100.0,4.5,16.5,,100.0,100.0,100.0,0.0,10.4,0.0,0.0,0.0,30.2,57.5,0.0,0.0,0.0,,,,,,,2025-09-09,quantum asia
SAD PUPPY,56.0,100.0,8.5,10.9,,100.0,100.0,100.0,0.0,19.5,0.0,0.0,0.0,19.9,38.0,0.0,0.0,0.0,,Malta,,,,,2025-09-09,sad puppy
Barnard Game,56.0,100.0,9.3,9.3,,100.0,100.0,100.0,0.0,21.3,0.0,0.0,0.0,17.0,32.4,0.0,0.0,0.0,,China,,,,,2025-09-09,barnard
"Card Games, Inc",56.0,100.0,3.9,17.4,,100.0,100.0,100.0,0.0,9.0,0.0,0.0,0.0,31.8,60.7,0.0,0.0,0.0,,China,,,ST Top Pubs,2025-09-09,2025-09-09,card
Lobstar Games Corp.,56.0,100.0,13.6,2.9,,100.0,100.0,100.0,0.0,31.2,0.0,0.0,0.0,5.4,10.2,0.0,0.0,0.0,,South Korea,,,ST Top Pubs,2025-09-09,2025-09-09,lobstar
gumi,56.0,72.0,54.2,12.2,,100.0,100.0,0.0,0.0,0.0,98.2,91.9,0.0,22.3,0.0,53.2,0.0,0.0,http://www.linkedin.com/company/gumi-inc,Japan,,,,,2025-09-09,gumi
Kek Entertainment,55.9,100.0,5.1,15.1,,100.0,100.0,100.0,0.0,11.8,0.0,0.0,0.0,27.5,52.4,0.0,0.0,0.0,,Cyprus,,,ST Top Pubs,2025-09-09,2025-09-09,kek
Kidding Box Studio,55.9,100.0,10.3,7.6,,100.0,100.0,100.0,0.0,23.6,0.0,0.0,0.0,13.8,26.3,0.0,0.0,0.0,,,,,,,2025-09-09,kidding box
Crop Circle Games,55.9,72.0,48.4,20.6,,100.0,100.0,0.0,0.0,0.0,97.3,66.6,0.0,37.7,0.0,89.8,0.0,0.0,cropcircle.co,United States,,,,,2025-09-09,crop circle
Aidian Network,55.9,100.0,10.8,6.6,,100.0,100.0,100.0,0.0,24.9,0.0,0.0,0.0,12.1,23.0,0.0,0.0,0.0,,Hong Kong,,,,,2025-09-09,aidian network
Ouroboros,55.9,100.0,2.4,19.2,,100.0,100.0,100.0,0.0,5.5,0.0,0.0,0.0,35.1,66.9,0.0,0.0,0.0,,China,,,ST Top Pubs,2025-09-09,2025-09-09,ouroboros
"Jackpot Mobile, LLC",55.9,100.0,7.2,12.3,,100.0,100.0,100.0,0.0,16.6,0.0,0.0,0.0,22.4,42.8,0.0,0.0,0.0,,US,,,,,2025-09-09,
Tapcheer,55.9,100.0,9.7,8.2,,100.0,100.0,100.0,0.0,22.4,0.0,0.0,0.0,14.9,28.4,0.0,0.0,0.0,,China,,,,,2025-09-09,tapcheer
PuzzleNation,55.9,100.0,2.1,20.0,,100.0,100.0,100.0,0.0,4.8,0.0,0.0,0.9,34.9,66.6,0.0,0.0,0.0,https://www.puzzlenation.com/,US,,,,,2025-09-09,puzzlenation
Hidden Lake Games LLC,55.9,100.0,12.7,3.7,,100.0,100.0,100.0,0.0,29.2,0.0,0.0,0.0,6.8,13.0,0.0,0.0,0.0,,US,,,,,2025-09-09,hidden lake
Runaway Play,55.9,68.0,25.3,65.0,,100.0,0.0,100.0,0.0,26.9,0.0,62.7,55.5,28.7,9.9,0.0,74.8,0.0,https://runawayplay.com,New Zealand,,,,,2025-09-09,runaway play
Gannett,55.9,100.0,2.6,18.9,,100.0,100.0,100.0,0.0,6.0,0.0,0.0,0.0,34.4,65.7,0.0,0.0,0.0,,US,,,ST Top Pubs,2025-09-09,2025-09-09,gannett
Stormbound Games,55.9,100.0,3.8,17.4,,100.0,100.0,100.0,0.0,8.8,0.0,0.0,0.0,31.7,60.4,0.0,0.0,0.0,,Netherlands,,,,,2025-09-09,stormbound
megacat studios,55.9,100.0,5.1,15.1,,100.0,100.0,100.0,0.0,11.8,0.0,0.0,0.0,27.5,52.4,0.0,0.0,0.0,,US,,,ST Top Pubs,2025-09-09,2025-09-09,megacat
Happen Labs,55.8,100.0,2.4,18.7,,100.0,100.0,100.0,0.0,5.6,0.0,0.0,0.0,34.2,65.1,0.0,0.0,0.0,,US,,,,,2025-09-09,happen labs
Fufla SIA,55.8,100.0,3.0,18.1,,100.0,100.0,100.0,0.0,6.8,0.0,0.0,0.0,33.0,63.0,0.0,0.0,0.0,,Latvia,,,,,2025-09-09,fufla sia
快乐阳光互动娱乐传媒有限公司,55.8,72.0,52.2,14.3,,100.0,100.0,0.0,0.0,0.0,99.5,80.7,0.0,26.1,0.0,62.2,0.0,0.0,mgtv.com,China,,,,,2025-09-09,
Barns Entertainment,55.8,100.0,12.6,3.7,,100.0,100.0,100.0,0.0,28.8,0.0,0.0,0.0,6.7,12.7,0.0,0.0,0.0,,China,,,,,2025-09-09,barns
Linekong Interactive Group,55.8,72.0,54.8,10.4,,100.0,100.0,0.0,0.0,0.0,99.4,92.7,0.0,18.9,0.0,45.1,0.0,0.0,linekong.com,China,,,,,2025-09-09,linekong
Northern Forge,55.8,100.0,8.2,10.4,,100.0,100.0,100.0,0.0,18.8,0.0,0.0,0.0,19.0,36.3,0.0,0.0,0.0,,"Canada, US",,,,,2025-09-09,northern forge
NPIXEL,55.8,72.0,51.1,15.6,,100.0,100.0,0.0,0.0,0.0,97.4,79.0,0.0,28.4,0.0,67.8,0.0,0.0,npixel.co.kr,South Korea,,,,,2025-09-09,npixel
Masal Game,55.8,100.0,11.8,4.9,,100.0,100.0,100.0,0.0,27.1,0.0,0.0,0.0,9.0,17.1,0.0,0.0,0.0,,,,,,,2025-09-09,masal
FlowMotion Entertainment,55.8,100.0,7.0,12.0,,100.0,100.0,100.0,0.0,16.0,0.0,0.0,0.0,21.9,41.8,0.0,0.0,0.0,,Canada,,,,,2025-09-09,flowmotion
CHENS GLOBAL LIMITED,55.7,100.0,4.6,15.1,,100.0,100.0,100.0,0.0,10.5,0.0,0.0,0.0,27.5,52.4,0.0,0.0,0.0,,Hong Kong,,,ST Top Pubs,2025-09-09,2025-09-09,chens
Courage. Limited,55.7,100.0,12.1,3.9,,100.0,100.0,100.0,0.0,27.8,0.0,0.0,0.0,7.2,13.7,0.0,0.0,0.0,,Hong Kong,,,ST Top Pubs,2025-09-09,2025-09-09,courage
MathHero Pte. Ltd.,55.7,100.0,7.8,10.4,,100.0,100.0,100.0,0.0,17.9,0.0,0.0,0.0,18.9,36.1,0.0,0.0,0.0,,,,,ST Top Pubs,2025-09-09,2025-09-09,mathhero pte
Rmind Games,55.7,100.0,7.1,11.4,,100.0,100.0,100.0,0.0,16.2,0.0,0.0,0.0,20.8,39.7,0.0,0.0,0.0,,Russia,,,,,2025-09-09,rmind
EUROCENTER GAMES CY,55.7,100.0,3.4,17.1,,100.0,100.0,100.0,0.0,7.9,0.0,0.0,0.0,31.2,59.4,0.0,0.0,0.0,,France,,,,,2025-09-09,eurocenter cy
Rayark Inc.,55.7,68.0,48.9,28.4,,100.0,0.0,100.0,0.0,31.3,44.9,90.7,0.0,51.8,98.8,0.0,0.0,0.0,rayark.com,Taiwan,,,,,2025-09-09,rayark
MadFatCat,55.7,100.0,10.4,6.6,,100.0,100.0,100.0,0.0,23.9,0.0,0.0,0.0,12.0,22.8,0.0,0.0,0.0,,Ukraine,,,ST Top Pubs,2025-09-09,2025-09-09,madfatcat
Adrian Smith,55.7,100.0,5.6,13.5,,100.0,100.0,100.0,0.0,12.9,0.0,0.0,0.0,24.7,47.0,0.0,0.0,0.0,,US,,,,,2025-09-09,adrian smith
HZ Game,55.7,100.0,6.4,12.5,,100.0,100.0,100.0,0.0,14.6,0.0,0.0,0.0,22.8,43.5,0.0,0.0,0.0,,Hong Kong,,,ST Top Pubs,2025-09-09,2025-09-09,hz
"WSC Solitaire, LLC",55.7,100.0,2.9,17.5,,100.0,100.0,100.0,0.0,6.6,0.0,0.0,0.0,31.9,60.8,0.0,0.0,0.0,,US,,,,,2025-09-09,wsc solitaire
Gagale Games,55.7,100.0,2.6,18.0,,100.0,100.0,100.0,0.0,6.1,0.0,0.0,0.0,32.9,62.7,0.0,0.0,0.0,,China,,,,,2025-09-09,gagale
"LeapFrog Enterprises, Inc.",55.7,100.0,2.0,18.9,,100.0,100.0,100.0,0.0,4.6,0.0,0.0,0.0,34.5,65.8,0.0,0.0,0.0,,US,,,,,2025-09-09,leapfrog
Jiri Bukovjan,55.7,100.0,6.0,12.9,,100.0,100.0,100.0,0.0,13.8,0.0,0.0,0.0,23.6,45.1,0.0,0.0,0.0,,Czech Republic,,,,,2025-09-09,jiri bukovjan
A Perfect Partnership,55.7,100.0,2.3,18.5,,100.0,100.0,100.0,0.0,5.3,0.0,0.0,0.0,33.8,64.4,0.0,0.0,0.0,,Canada,,,,,2025-09-09,perfect partnership
COREGAMES PTE. LTD.,55.6,100.0,3.4,16.6,,100.0,100.0,100.0,0.0,7.7,0.0,0.0,0.0,30.4,57.9,0.0,0.0,0.0,,,,,ST Top Pubs,2025-09-09,2025-09-09,coregames pte
Limebolt,55.6,100.0,12.6,2.6,,100.0,100.0,100.0,0.0,29.0,0.0,0.0,0.0,4.7,9.0,0.0,0.0,0.0,,US,,,,,2025-09-09,limebolt
Infold Games,55.6,72.0,54.9,9.2,,100.0,100.0,0.0,0.0,0.0,97.2,96.8,0.0,16.8,0.0,40.1,0.0,0.0,infoldgames.com,Singapore,,,,,2025-09-09,infold
Giant Interactive Group,55.6,72.0,56.3,6.9,,100.0,100.0,0.0,0.0,0.0,99.9,98.8,0.0,12.6,0.0,30.0,0.0,0.0,ga-me.com,China,,,,,2025-09-09,giant
Kickapoo Lucky Eagle Casino Hotel,55.6,100.0,4.2,15.1,,100.0,100.0,100.0,0.0,9.8,0.0,0.0,0.0,27.5,52.4,0.0,0.0,0.0,,,,,ST Top Pubs,2025-09-09,2025-09-09,kickapoo lucky eagle hotel
"Eichhorn, Eimer GbR",55.6,100.0,8.4,8.7,,100.0,100.0,100.0,0.0,19.2,0.0,0.0,0.0,15.9,30.4,0.0,0.0,0.0,,Germany,,,ST Top Pubs,2025-09-09,2025-09-09,eichhorn eimer gbr
BENIPOL LIMITED,55.6,100.0,10.8,5.1,,100.0,100.0,100.0,0.0,24.7,0.0,0.0,0.0,9.3,17.8,0.0,0.0,0.0,,Ukraine,,,ST Top Pubs,2025-09-09,2025-09-09,benipol
Pixel Toys,55.6,60.0,38.0,64.6,,0.0,100.0,100.0,0.0,6.2,44.9,90.2,55.5,28.0,19.1,9.3,44.8,0.0,https://pixeltoys.com/about-us,UK,,,,,2025-09-09,pixel toys
INLOGIC GAMES,55.6,100.0,6.6,11.4,,100.0,100.0,100.0,0.0,15.2,0.0,0.0,0.0,20.8,39.7,0.0,0.0,0.0,,Slovakia,,,,,2025-09-09,inlogic
Glohow,55.6,100.0,4.2,15.1,,100.0,100.0,100.0,0.0,9.5,0.0,0.0,0.0,27.5,52.4,0.0,0.0,0.0,,Singapore,,,ST Top Pubs,2025-09-09,2025-09-09,glohow
MWM,55.6,100.0,11.7,3.8,,100.0,100.0,100.0,0.0,26.8,0.0,0.0,0.0,6.9,13.2,0.0,0.0,0.0,,France,,,ST Top Pubs,2025-09-09,2025-09-09,mwm
Play To Win Games,55.5,100.0,1.9,18.4,,100.0,100.0,100.0,0.0,4.3,0.0,0.0,0.0,33.6,64.0,0.0,0.0,0.0,,US,,,,,2025-09-09,play to
INK Games,55.5,68.0,33.7,50.3,,100.0,0.0,100.0,0.0,3.7,44.9,75.7,55.5,1.9,3.5,0.0,0.0,0.0,https://inkgames.com/,United States,,,,,2025-09-09,ink
